"PokemonID,PokemonName,MoveName,Category,AppealPoints,JamPoints,Effect"
"1,Bulbasaur,Petal Dance,Beauty,4,2,""Crowd becomes focused on the user, increasing appeal of next move by 2"""
"1,Bulbasaur,Solar Beam,Beauty,3,0,""Better if used after a Sunny Day move"""
""
"1,Bulbasaur,Sweet Scent,Cute,3,0,""Makes the crowd excited, increases appeal of next move"""
"2,Ivysaur,Razor Leaf,Cool,3,1,""High critical hit ratio increases appeal"""
""
"2,Ivysaur,Energy Ball,Beauty,4,0,""Better when the crowd is excited"""
"2,Ivysaur,Seed Bomb,Tough,3,1,""Can prevent Jam if used first"""
"3,Venusaur,Frenzy Plant,Tough,6,6,""User cannot perform next turn, drastically reduces appeal"""
"3,Venusaur,Aromatherapy,Beauty,3,0,""Removes all Jam points from user's team"""
"3,Venusaur,Magical Leaf,Beauty,4,0,""Never misses and ignores Jam effects"""
"3,Venusaur,Synthesis,Smart,2,0,""Better when used last in a turn"""
""
"4,Caterpie,Bug Bite,Cute,2,1,""Steals and shows off held Berry for extra appeal"""
"4,Caterpie,Tackle,Tough,2,0,""Basic appeal with no special effects"""
"4,Caterpie,Struggle,Tough,1,0,""Used only if no other moves left, poor appeal"""
"5,Metapod,Harden,Tough,2,0,""Basic appeal that prevents Jam"""
"5,Metapod,Iron Defense,Tough,3,0,""Greatly prevents Jam from opponents"""
""
"5,Metapod,Bug Bite,Cute,2,1,""Steals and shows off held Berry for extra appeal"""
"6,Butterfree,Silver Wind,Beauty,3,0,""May increase all stats and appeal"""
"6,Butterfree,Supersonic,Smart,2,3,""Confuses and badly startles opponents"""
"6,Butterfree,Quiver Dance,Beauty,4,0,""Boosts appeal and prevents Jam next turn"""
"6,Butterfree,Psychic,Smart,4,0,""May lower opponent's Appeal points"""
"7,Pidgey,Feather Dance,Beauty,3,2,""Reduces opponent's Appeal points"""
"7,Pidgey,Quick Attack,Cool,2,0,""Goes first to prevent Jam"""
"7,Pidgey,Tailwind,Smart,2,0,""Boosts team's appeal next turn"""
"7,Pidgey,Aerial Ace,Cool,3,0,""Never misses, ignores Jam effects"""
"8,Pidgeotto,Wing Attack,Cool,3,1,""Basic appeal with chance to Jam"""
"8,Pidgeotto,Air Cutter,Cool,4,0,""High critical hit ratio increases appeal"""
"8,Pidgeotto,Twister,Beauty,3,2,""May flinch and startle opponents"""
"8,Pidgeotto,Agility,Cool,2,0,""Makes next move more appealing"""
"9,Pidgeot,Hurricane,Beauty,5,3,""May confuse and badly startle opponents"""
"9,Pidgeot,Air Slash,Cool,4,1,""May cause flinching and startle"""
"9,Pidgeot,Heat Wave,Beauty,4,2,""May burn and startle opponents"""
"9,Pidgeot,Hyper Beam,Cool,6,6,""User cannot perform next turn, reduces appeal"""
"10,Raichu,Thunderbolt,Cool,4,0,""May paralyze and startle opponents"""
"10,Raichu,Volt Tackle,Tough,5,3,""Powerful but reduces user's Appeal next turn"""
"10,Raichu,Nuzzle,Cute,3,1,""Paralyzes and startles opponent"""
"10,Raichu,Play Nice,Cute,2,0,""Reduces opponent's Appeal points"""
"11,Nidoran?,Double Kick,Cool,2,0,""Hits twice for consistent appeal"""
"11,Nidoran?,Charm,Cute,3,0,""Greatly reduces opponent's Appeal points"""
"11,Nidoran?,Poison Sting,Smart,2,1,""May poison and startle opponent"""
"11,Nidoran?,Growl,Cute,1,1,""Reduces opponent's Appeal points"""
"12,Nidorina,Fury Swipes,Cute,3,0,""Hits 2-5 times for consistent appeal"""
"12,Nidorina,Bite,Cool,3,1,""May cause flinching and startle"""
"12,Nidorina,Helping Hand,Smart,0,0,""Doubles ally's Appeal points next turn"""
"12,Nidorina,Toxic Spikes,Smart,2,3,""Badly startles opponents switching in"""
"13,Nidoqueen,Earth Power,Tough,4,0,""May lower opponent's Appeal points"""
"13,Nidoqueen,Superpower,Tough,5,3,""Powerful but reduces user's Appeal next turn"""
"13,Nidoqueen,Sludge Wave,Beauty,4,1,""May poison and startle opponents"""
"13,Nidoqueen,Body Slam,Tough,3,0,""May paralyze and startle opponents"""
"14,Nidoran?,Horn Attack,Tough,2,0,""Basic appeal with no special effects"""
"14,Nidoran?,Leer,Cool,1,1,""Reduces opponent's Appeal points"""
"14,Nidoran?,Focus Energy,Smart,2,0,""Next move has increased Appeal"""
"14,Nidoran?,Peck,Cool,2,0,""Basic appeal with no special effects"""
"15,Nidorino,Poison Jab,Smart,4,0,""May poison and startle opponent"""
"15,Nidorino,Dig,Tough,3,0,""Avoids Jams during execution"""
"15,Nidorino,Head Smash,Tough,6,6,""Powerful but reduces user's Appeal greatly"""
"15,Nidorino,Iron Tail,Tough,4,0,""May lower opponent's Appeal points"""
"16,Nidoking,Megahorn,Tough,6,3,""Powerful but may Jam opponent"""
"16,Nidoking,Sludge Bomb,Smart,4,0,""May poison and startle opponent"""
"16,Nidoking,Thunder,Cool,5,0,""Better during Rain, may paralyze"""
"16,Nidoking,Shadow Claw,Cool,3,0,""High critical hit ratio increases appeal"""
"17,Clefairy,Metronome,Cute,0,0,""Random move with random Appeal"""
"17,Clefairy,Disarming Voice,Cute,3,0,""Never misses, ignores Jam effects"""
"17,Clefairy,Moonblast,Beauty,5,0,""May lower opponent's Appeal points"""
"17,Clefairy,After You,Smart,0,0,""Allows ally to go next with +1 Appeal"""
"18,Clefable,Dazzling Gleam,Beauty,4,0,""Shines brightly for great appeal"""
"18,Clefable,Sing,Cute,3,3,""Puts opponent to sleep, badly startling"""
"18,Clefable,Moonlight,Beauty,2,0,""Better when used last in a turn"""
"18,Clefable,Psychic,Smart,4,0,""May lower opponent's Appeal points"""
"19,Vulpix,Ember,Beauty,2,0,""Basic fire appeal"""
"19,Vulpix,Will-O-Wisp,Beauty,3,1,""Burns and startles opponent"""
"19,Vulpix,Confuse Ray,Smart,2,3,""Confuses and badly startles"""
"19,Vulpix,Quick Attack,Cool,2,0,""Goes first to prevent Jam"""
"20,Ninetales,Flamethrower,Beauty,4,0,""May burn and startle opponent"""
